doctor_id,user_id_fk,phone_number,specialty,license_number
1,7500,97515663,Internal Medicine,6615153f-7ae1-42cd-ac2e-f9956a4f47ea
2,7501,81177742,Paediatrics,c14ed759-b7eb-4c11-90f8-d97d5fad08e3
3,7502,92733985,Orthopaedics,183583b1-1bdf-4a9e-ade0-dab995856191
4,7503,97224435,Paediatrics,a7887f55-0c10-4894-bfe6-b7a22d79f45f
5,7504,96196085,Obstetrics and Gynaecology (O&G),301d28c0-90ae-43bc-9adb-6bdc64e19ead
6,7505,95449502,Paediatrics,5aa830da-4325-4ee6-a807-9a701223fe0b
7,7506,83012551,Orthopaedics,f9e9c27d-f8ed-461b-87c7-4bd8230e1363
8,7507,83763046,Obstetrics and Gynaecology (O&G),fd32cd6e-c59d-4222-b1a2-760ead7d2d41
9,7508,92735006,Ophthalmology,0fd1fbe5-8f36-49bb-8408-9d6f184fbd1e
10,7509,82545921,Family Medicine,9a4d3ee6-fb2a-4a20-ae95-9d3bfe21552b
11,7510,92292902,Obstetrics and Gynaecology (O&G),3354cd85-9a67-4376-9d3f-43a6f50427a1
12,7511,83221175,Obstetrics and Gynaecology (O&G),a57876e2-16d1-42bb-b170-8e2166a219b8
13,7512,97629217,Orthopaedics,4e3beb48-77e0-4cea-8c45-ccfdb0e23721
14,7513,95542258,Ophthalmology,d8e2ec08-ef1a-4466-9697-4af4d1d9a6f2
15,7514,84435925,Otorhinolaryngology (ENT),b82d9704-e20d-4290-a991-3d61d50286f1
16,7515,88838901,Orthopaedics,b9d46d39-ad72-4c00-935b-f72885be59c7
17,7516,86084975,Ophthalmology,df79b671-75fe-4d70-9247-79c94eeff8c8
18,7517,83318755,Ophthalmology,9f69e550-0e9e-4f00-9821-85f5c71fff9b
19,7518,96464558,Cardiology,6dcf0be4-d97e-4a74-bdd4-897507c965b5
20,7519,85868896,Dermatology,a06a346b-834c-4efa-bf59-9ba14f435adf
21,7520,81715704,Paediatrics,7756b851-615f-4f2b-8455-96b38e303c0a
22,7521,81334256,Cardiology,aa9c514b-0c70-4473-aab0-029e962bef6c
23,7522,86265322,Ophthalmology,4be689d2-22b8-4096-a958-5903e99a8a89
24,7523,99856095,Obstetrics and Gynaecology (O&G),2e5a7513-963f-40d3-b570-18c6085e125f
25,7524,91671851,Ophthalmology,13e95c09-3722-4f9c-929d-a8ae2b372939
26,7525,83632959,Dermatology,622c5a78-5b75-4e02-9c80-439c4dc00956
27,7526,98543567,Ophthalmology,f84d32e5-5caf-4e8b-8edf-c486181ec02b
28,7527,82359812,Paediatrics,7a909d8c-99a3-432b-88bd-5427ad4d6e51
29,7528,96232904,Cardiology,0dfd79f7-2516-4212-aca8-6b1a7602322f
30,7529,98462770,Dermatology,b9a87b87-7ac8-406d-a48e-5157ea3e8f58
31,7530,96965572,Family Medicine,6b95d15a-8b7f-4a62-8929-15d71f1a384b
32,7531,87451473,Internal Medicine,0501d4b6-71f3-492f-b219-220a67c378ea
33,7532,88632242,Family Medicine,1cab055d-ccc9-42c2-b24a-f3cdae786d0e
34,7533,98385096,Internal Medicine,6ac57fd1-7903-4d46-aa59-ab523f155f56
35,7534,93815157,Obstetrics and Gynaecology (O&G),eaa24da1-47c4-4ec8-b0ff-0b7f3cab1f00
36,7535,94807265,Cardiology,23017153-9852-4dfb-af4b-74814689a801
37,7536,89444396,Family Medicine,b77187f1-0265-4e85-a161-7d2824425dd5
38,7537,82872626,General Practitioner,05520c61-584c-4a88-8d3d-88d76f3cccec
39,7538,81129539,Paediatrics,ae203bc6-4154-4ffe-864f-0d592ee2f5be
40,7539,89205014,Paediatrics,72efd11e-6120-479c-a5bf-a0984e815c67
41,7540,98493847,Paediatrics,1fefa321-5511-4c8a-b30e-daecfe3b6d7f
42,7541,93220858,Orthopaedics,41d6b08d-0cbd-48cf-b191-48d1e2b5154b
43,7542,81777459,Family Medicine,e721a6f8-ce14-4fa8-b611-cd76a50dfb3f
44,7543,89339029,Internal Medicine,293a4bef-5f84-47f2-bf3f-bc5acbe78367
