user_id,role_id_fk,username,password_hash,email,first_name,last_name
1,1,matthew_smith,banana&45,matthew.smith@gmail.com,Matthew,Smith
2,1,samantha_davies,cherry&27,samantha.davies@gmail.com,Samantha,Davies
3,1,tiffany_mitchell,berry&94,tiffany.mitchell@gmail.com,Tiffany,Mitchell
4,1,kevin_wells,berry@89,kevin.wells@gmail.com,Kevin,Wells
5,1,kathleen_hanna,orange&13,kathleen.hanna@gmail.com,Kathleen,Hanna
6,1,taylor_newton,peach$66,taylor.newton@gmail.com,Taylor,Newton
7,1,kelly_olson,banana@14,kelly.olson@gmail.com,Kelly,Olson
8,1,suzanne_thomas,grape#93,suzanne.thomas@gmail.com,Suzanne,Thomas
9,1,daniel_ferguson,peach$38,daniel.ferguson@gmail.com,Daniel,Ferguson
10,1,heather_day,orange$90,heather.day@gmail.com,Heather,Day
11,1,john_duncan,berry#53,john.duncan@gmail.com,John,Duncan
12,1,douglas_mayo,orange&12,douglas.mayo@gmail.com,Douglas,Mayo
13,1,kenneth_fletcher,peach#21,kenneth.fletcher@gmail.com,Kenneth,Fletcher
14,1,theresa_freeman,banana$82,theresa.freeman@gmail.com,Theresa,Freeman
15,1,roberta_stewart,banana#94,roberta.stewart@gmail.com,Roberta,Stewart
16,1,maria_dougherty,peach@29,maria.dougherty@gmail.com,Maria,Dougherty
17,1,erica_spencer,banana@41,erica.spencer@gmail.com,Erica,Spencer
18,1,justin_kim,apple$21,justin.kim@gmail.com,Justin,Kim
19,1,denise_galloway,orange&20,denise.galloway@gmail.com,Denise,Galloway
20,1,krista_smith,peach@89,krista.smith@gmail.com,Krista,Smith
21,1,gregory_smith,orange!31,gregory.smith@gmail.com,Gregory,Smith
22,1,vanessa_newton,peach!38,vanessa.newton@gmail.com,Vanessa,Newton
23,1,stephanie_kramer,cherry!59,stephanie.kramer@gmail.com,Stephanie,Kramer
24,1,angela_contreras,mango!57,angela.contreras@gmail.com,Angela,Contreras
25,1,wendy_glenn,apple$12,wendy.glenn@gmail.com,Wendy,Glenn
26,1,james_ellis,banana&48,james.ellis@gmail.com,James,Ellis
27,1,jared_bruce,mango$55,jared.bruce@gmail.com,Jared,Bruce
28,1,brandy_mitchell,mango$91,brandy.mitchell@gmail.com,Brandy,Mitchell
29,1,jacob_huynh,mango#58,jacob.huynh@gmail.com,Jacob,Huynh
30,1,kristina_frazier,banana$54,kristina.frazier@gmail.com,Kristina,Frazier
31,1,john_hartman,apple@20,john.hartman@gmail.com,John,Hartman
32,1,heather_garcia,apple$32,heather.garcia@gmail.com,Heather,Garcia
33,1,lynn_young,orange@56,lynn.young@gmail.com,Lynn,Young
34,1,emma_allison,berry&45,emma.allison@gmail.com,Emma,Allison
35,1,laura_myers,grape@83,laura.myers@gmail.com,Laura,Myers
36,1,travis_parsons,apple&95,travis.parsons@gmail.com,Travis,Parsons
37,1,christine_johnson,mango@80,christine.johnson@gmail.com,Christine,Johnson
38,1,emily_taylor,peach@75,emily.taylor@gmail.com,Emily,Taylor
39,1,william_reynolds,cherry!52,william.reynolds@gmail.com,William,Reynolds
40,1,jennifer_carter,mango&42,jennifer.carter@gmail.com,Jennifer,Carter
41,1,matthew_thomas,grape#30,matthew.thomas@gmail.com,Matthew,Thomas
42,1,mary_logan,berry@78,mary.logan@gmail.com,Mary,Logan
43,1,kristin_martinez,peach&29,kristin.martinez@gmail.com,Kristin,Martinez
44,1,daniel_murphy,orange$70,daniel.murphy@gmail.com,Daniel,Murphy
45,1,emily_patterson,peach@62,emily.patterson@gmail.com,Emily,Patterson
46,1,cameron_young,apple$63,cameron.young@gmail.com,Cameron,Young
47,1,vicki_nguyen,banana#85,vicki.nguyen@gmail.com,Vicki,Nguyen
48,1,mary_moss,mango&81,mary.moss@gmail.com,Mary,Moss
